course_id,yards_from_pin,into_hole
14900,591.07,0
14900,455.93,0
14900,473.76,0
14900,854.05,0
14900,413.69,0
14900,97.92,0
14900,297.87,0
14900,0,1
14900,447.06,0
14900,260.77,0
14900,41.4,0
14900,456.97,0
14900,80.81,0
14900,438.69,0
14900,339.13,0
14900,738.74,0
14900,262.98,0
14900,511.32,0
14900,211.31,0
14900,262.51,0
14900,330.84,0
14900,359.26,0
14900,292.84,0
14900,342.46,0
14900,73.9,0
14900,173.31,0
14900,232.68,0
14900,217.93,0
14900,437.52,0
14900,741.72,0
14900,247.11,0
14900,320.38,0
14900,55.14,0
14900,643.98,0
14900,441.6,0
14900,349.74,0
14900,231.93,0
14900,324.78,0
14900,436.86,0
14900,473.14,0
14900,75.83,0
14900,296.59,0
14900,404.21,0
14900,0,1
14900,329.2,0
14900,501.56,0
14900,423.09,0
14900,498.89,0
14900,226.15,0
14900,157.05,0
14900,158.77,0
14900,357.72,0
14900,228.31,0
14900,854.05,0
14900,434.55,0
14900,286.13,0
14900,73.52,0
14900,237.9,0
14900,4.19,0
14900,114.77,0
14900,8.64,0
14900,407.56,0
14900,0,1
14900,854.05,0
14900,585.28,0
14900,709.43,0
14900,337.56,0
14900,193.03,0
14900,424.58,0
14900,233.69,0
14900,362.97,0
14900,607.76,0
14900,333.79,0
14900,443.03,0
14900,497.03,0
14900,719.26,0
14900,187.6,0
14900,305.77,0
14900,475.34,0
14900,200.72,0
14900,257,0
14900,407.37,0
14900,335.13,0
14900,255.99,0
14900,200.18,0
14900,306.01,0
14900,469.76,0
14900,205.31,0
14900,698.13,0
14900,140.83,0
14900,178.87,0
14900,296.16,0
14900,262.89,0
14900,217.28,0
14900,308.44,0
14900,332.62,0
14900,348.5,0
14900,241.36,0
14900,490.83,0
14900,439.52,0
14900,324.71,0
14900,403.02,0
14900,322.31,0
14900,422.91,0
14900,262.58,0
14900,164.3,0
14900,430.33,0
14900,12.68,0
14900,0,1
14900,397.29,0
14900,425.64,0
14900,247.11,0
14900,439.22,0
14900,349.25,0
14900,854.05,0
14900,11.78,0
14900,0,1
14900,294.07,0
14900,589.47,0
14900,252.66,0
14900,413.87,0
14900,514.36,0
14900,447.9,0
14900,499.43,0
14900,433.53,0
14900,339.18,0
14900,493.11,0
14900,245.14,0
14900,311.66,0
14900,345.61,0
14900,380.84,0
14900,0,1
14900,50.49,0
14900,35.07,0
14900,409.63,0
14900,313.03,0
14900,262.77,0
14900,854.05,0
14900,854.05,0
14900,2.92,0
14900,44.69,0
14900,268.87,0
14900,510.77,0
14900,498.08,0
14900,15.85,0
14900,15.44,0
14900,29.04,0
14900,413.57,0
14900,500.82,0
14900,247.52,0
14900,69.37,0
14900,409.64,0
14900,310.39,0
14900,453.08,0
14900,24.44,0
14900,28.2,0
14900,4.15,0
14900,312.4,0
14900,0.59,0
14900,98.74,0
14900,433.77,0
14900,221.29,0
14900,359.93,0
14900,154.54,0
14900,259.08,0
14900,342.13,0
14900,254.96,0
14900,165.87,0
14900,479.58,0
14900,271.27,0
14900,355.67,0
14900,24.49,0
14900,276.08,0
14900,297.13,0
14900,54.64,0
14900,330.72,0
14900,173.68,0
14900,487.86,0
14900,513.46,0
14900,317.24,0
14900,360.37,0
14900,267.01,0
14900,64.81,0
14900,221.2,0
14900,117.65,0
14900,684.49,0
14900,232.68,0
14900,237.13,0
14900,393.82,0
14900,281.68,0
14900,426.36,0
14900,400.6,0
14900,456.97,0
14900,296.18,0
14900,854.05,0
14900,116.6,0
14900,162.95,0
14900,270.31,0
14900,558.82,0
14900,221.21,0
14900,231.78,0
14900,341.85,0
14900,486.8,0
14900,281.26,0
14900,651.26,0
14900,241.33,0
14900,374.14,0
14900,350.24,0
14900,502.03,0
14900,364.48,0
14900,266.83,0
14900,331.63,0
14900,242.02,0
14900,502.03,0
14900,201.51,0
14900,390.68,0
14900,261.21,0
14900,337.12,0
14900,271.46,0
14900,330.34,0
14900,170.49,0
14900,8.57,0
14900,389.21,0
14900,237.45,0
14900,333.14,0
14900,394.49,0
14900,338.4,0
14900,0,1
14900,229.72,0
14900,246.36,0
14900,480.28,0
14900,234.75,0
14900,418.08,0
14900,530.54,0
14900,276.87,0
14900,234.93,0
14900,308.93,0
14900,328.17,0
14900,35.19,0
14900,10.78,0
14900,231.99,0
14900,268.51,0
14900,480.11,0
14900,186.58,0
14900,234.86,0
14900,361.02,0
14900,440.42,0
14900,310.91,0
14900,14.29,0
14900,22,0
14900,681.23,0
14900,226.73,0
14900,391.36,0
14900,93.85,0
14900,333.95,0
14900,498.53,0
14900,330.89,0
14900,614.66,0
14900,432.34,0
14900,489.66,0
14900,301.98,0
14900,268.55,0
14900,854.05,0
14900,239.27,0
14900,356.08,0
14900,543.5,0
14900,0,1
14900,336.89,0
14900,318.1,0
14900,414,0
14900,310.24,0
14900,335.92,0
14900,344.05,0
14900,0.98,0
14900,315.93,0
14900,854.05,0
14900,453.29,0
14900,453.29,0
14900,248.07,0
14900,301.1,0
14900,84.1,0
14900,84.1,0
14900,307.85,0
14900,238.77,0
14900,254.25,0
14900,361.82,0
14900,295.03,0
14900,513.33,0
14900,563.16,0
14900,351.23,0
14900,251.49,0
14900,333.45,0
14900,854.05,0
14900,371.34,0
14900,738.34,0
14900,444.63,0
14900,265.46,0
14900,22,0
14900,271.89,0
14900,248.07,0
14900,21.19,0
14900,117.49,0
14900,573.72,0
14900,339,0
14900,419.78,0
14900,218.55,0
14900,175.27,0
14900,244.96,0
14900,75.7,0
14900,448.58,0
14900,854.05,0
14900,526.26,0
14900,336.65,0
14900,392.23,0
