course,Par,Birdie_up,Eagle_up,Albatross_up,hole_in_one,improvement_room,good_level_rate,simple_shot_rate,diffulty,aveClub
12,5,0.9583236900970367,0.6639654555043261,0.061294664106225485,0.0,0.061294664106225485,0.6639654555043261,0.9583236900970367,16.314633819788458,3.4069915062040623
15,4,0.9999105293224687,0.9817851266299393,0.4917142527447619,0.006214574898785425,0.006214574898785425,0.4917142527447619,0.9817851266299393,160.91205211726384,2.527035898104048
25,3,0.9982042250920374,0.9901353435095048,0.6354278904205509,0.03887560254203825,0.03887560254203825,0.03887560254203825,0.6354278904205509,25.723073974702952,2.3317385841409197
177,5,1.0044409137525714,0.6223611568451095,0.12278797847282702,9.110704166325016e-06,0.12278797847282702,0.6223611568451095,1.0044409137525714,8.144119745576722,3.4376169997406416
178,5,0.964036541010918,0.5443753187524258,0.04477057256043079,0.0,0.04477057256043079,0.5443753187524258,0.964036541010918,22.336100317908866,3.49922859964701
1002,4,0.9980201529720207,0.9827542590508179,0.5494296901167062,0.0035448923367390845,0.0035448923367390845,0.5494296901167062,0.9827542590508179,282.0960144927536,2.460951496047565
1003,3,0.9996018612984298,0.996155473162963,0.811403563341379,0.04168325577923209,0.04168325577923209,0.04168325577923209,0.811403563341379,23.990448473994476,2.1512616020106003
1004,5,0.9910337898409434,0.8715339211089927,0.20509587962828907,3.877802681888335e-05,0.20509587962828907,0.8715339211089927,0.9910337898409434,4.87576835679184,2.932629352980875
1005,4,0.9827686629423862,0.8667232115941284,0.2932420398854825,0.002338703930447852,0.002338703930447852,0.2932420398854825,0.8667232115941284,427.58725761772854,2.8608531584567194
1006,3,0.995394723645148,0.9916946719946809,0.7608233442646406,0.025715113058367326,0.025715113058367326,0.025715113058367326,0.7608233442646406,38.88763769889841,2.205925158291655
1007,5,0.9756048113934275,0.7550331255955431,0.08803388815680838,2.692768570005251e-05,0.08803388815680838,0.7550331255955431,0.9756048113934275,11.359261994866937,3.1832431893886644
1008,5,0.9024669411667193,0.5426251705586826,0.0761940320551131,6.341556217895871e-05,0.0761940320551131,0.5426251705586826,0.9024669411667193,13.124387475342875,3.491700675087653
1013,5,0.9777890312259868,0.68319457888639,0.09457337325902615,0.0013579408678476637,0.09457337325902615,0.68319457888639,0.9777890312259868,10.57380069611252,3.2507357276686566
1014,3,1.0043388579810317,0.9913394432627372,0.77009910811195,0.049601926705425764,0.049601926705425764,0.049601926705425764,0.77009910811195,20.160507190351012,2.211020310711833
1016,5,0.970202760175561,0.6527554105001356,0.09752941554683983,0.0,0.09752941554683983,0.6527554105001356,0.970202760175561,10.25331685208076,3.4645463934228906
1017,5,1.0383594358871082,0.8662735768755138,0.1848615471114651,1.561792312858236e-05,0.1848615471114651,0.8662735768755138,1.0383594358871082,5.409453808135852,3.1485576828242894
1018,5,0.9678274483343138,0.738289833842496,0.13428623127991846,0.00014175492598367793,0.13428623127991846,0.738289833842496,0.9678274483343138,7.4467798408573165,3.1615365583993977
1019,4,0.9959407914966897,0.9388013756580869,0.4104986555938491,0.001340771422414825,0.001340771422414825,0.4104986555938491,0.9388013756580869,745.8392857142858,2.655352615244557
1023,3,1.0175918496117755,1.0124458886639391,0.8258478348099102,0.0940942287259082,0.0940942287259082,0.0940942287259082,0.8258478348099102,10.627644368210406,2.1424485755834026
1024,3,1.028412237323358,1.0246335742250063,0.8221291645175676,0.10784779477120177,0.10784779477120177,0.10784779477120177,0.8221291645175676,9.272326820603908,2.160787092867425
1026,5,0.9853977835312245,0.7972951574470303,0.12245466329848358,0.000567787521292032,0.12245466329848358,0.7972951574470303,0.9853977835312245,8.166287612603998,3.0978285868518904
1027,3,1.0312636853375388,1.0237091954610764,0.6805030237891102,0.12169789165069432,0.12169789165069432,0.12169789165069432,0.6805030237891102,8.21706922310757,2.301911010921532
1028,3,0.9955248302232483,0.9715244052354857,0.5841822104013636,0.007963311347340903,0.007963311347340903,0.007963311347340903,0.5841822104013636,125.57590132827325,2.427099903173157
